"URL","HTMLMatches","URLMatches","HC","T"
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:17:32
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:00:59
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502",0,0,2011-07-29 08:42:26,2011-07-29 19:00:59
"http://earthobservatory.nasa.gov/NaturalHazards/view.php?id=51502&src=eorss-nh",0,0,2011-07-29 09:20:41,2011-07-29 19:18:02
"http://edworkforce.house.gov/News/DocumentSingle.aspx?DocumentID=254294",1,0,2011-07-29 19:12:36,2011-07-29 19:13:06
"http://edworkforce.house.gov/News/DocumentSingle.aspx?DocumentID=254294",1,0,2011-07-29 19:12:36,2011-07-29 19:13:06
"http://edworkforce.house.gov/News/DocumentSingle.aspx?DocumentID=254294",1,0,2011-07-29 19:12:36,2011-07-29 19:13:06
"http://edworkforce.house.gov/News/DocumentSingle.aspx?DocumentID=254294",1,0,2011-07-29 19:12:36,2011-07-29 19:13:07
"http://epw.senate.gov/public/index.cfm?FuseAction=Minority.PressReleases&ContentRecord_id=775ce9e0-802a-23ad-45a4-92f7099822ad",0,0,2011-07-29 15:29:12,2011-07-29 19:09:40
"http://esp.fda.gov/TobaccoProducts/Labeling/CigaretteWarningLabels/default.htm",0,0,2011-06-29 13:45:55,2011-07-29 19:00:12
"http://esp.fda.gov/TobaccoProducts/Labeling/CigaretteWarningLabels/default.htm",0,0,2011-06-29 13:45:55,2011-07-29 19:00:12
"http://esp.fda.gov/TobaccoProducts/Labeling/CigaretteWarningLabels/default.htm",0,0,2011-06-29 13:45:55,2011-07-29 19:00:12
"http://feinstein.senate.gov/public/index.cfm?FuseAction=AboutDianne.Biography",0,0,2011-07-22 15:45:43,2011-07-29 19:02:53
"http://feinstein.senate.gov/public/index.cfm?FuseAction=AboutDianne.Biography",0,0,2011-07-22 15:45:43,2011-07-29 19:04:13
"http://forecast.weather.gov/product.php?site=NWS&format=CI&version=1&glossary=0&highlight=off&issuedby=BOX&product=PNS",0,0,2009-07-01 16:05:11,2011-07-29 19:12:21
"http://foreignaffairs.house.gov/hearings_livestream.asp?secondary",0,0,2011-07-07 12:38:47,2011-07-29 19:01:32
"http://foreignaffairs.house.gov/hearings_livestream.asp?secondary",0,0,2011-07-07 12:38:47,2011-07-29 19:01:32
"http://foreignaffairs.house.gov/hearings_livestream.asp?secondary",0,0,2011-07-07 12:38:47,2011-07-29 19:11:33
"http://foreignaffairs.house.gov/hearings_livestream.asp?secondary",0,0,2011-07-07 12:38:47,2011-07-29 19:16:31
"http://foreignaffairs.house.gov/hearings_livestream.asp?secondary",0,0,2011-07-07 12:38:47,2011-07-29 19:01:32
